Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens
0,10,0,2.0,79.543,8.0,2.1,111.4,76.3,25.9,45.7,0.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,10,0,52.0,96.881,8.0,2.1,111.4,76.3,25.9,45.7,0.0,"[52, 52, 52, 52, 52, 52, 52, 52, 52, 52]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
100,10,0,102.0,103.02499999999992,8.0,2.1,111.4,76.3,25.9,45.7,0.0,"[102, 102, 102, 102, 102, 102, 102, 102, 102, 102]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
150,10,0,152.0,111.23399999999987,8.0,2.1,111.4,76.3,25.9,45.7,0.0,"[152, 152, 152, 152, 152, 152, 152, 152, 152, 152]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
200,10,0,202.0,102.96699999999971,8.0,2.1,111.4,76.3,25.9,45.7,0.0,"[202, 202, 202, 202, 202, 202, 202, 202, 202, 202]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
250,9,1,252.0,110.0494444444444,7.888888888888888,2.1111111111111107,120.11111111111113,76.66666666666667,26.0,46.27777777777778,0.0,"[252, 252, 252, 252, 252, 252, 252, 252, 252]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
300,9,1,302.0,127.63944444444424,7.888888888888888,2.1111111111111107,120.11111111111113,76.66666666666667,26.0,46.27777777777778,0.0,"[302, 302, 302, 302, 302, 302, 302, 302, 302]","[0, 0, 0, 0, 0, 0, 0, 0, 0]"
350,8,2,352.0,131.8899999999997,7.875,2.25,110.5,81.0,25.5,46.0625,0.0,"[352, 352, 352, 352, 352, 352, 352, 352]","[0, 0, 0, 0, 0, 0, 0, 0]"
400,8,2,402.0,128.00312499999978,7.875,2.25,110.5,81.0,25.5,46.0625,0.0,"[402, 402, 402, 402, 402, 402, 402, 402]","[0, 0, 0, 0, 0, 0, 0, 0]"
450,8,2,452.0,142.1687499999999,7.875,2.25,110.5,81.0,25.5,46.0625,0.0,"[452, 452, 452, 452, 452, 452, 452, 452]","[0, 0, 0, 0, 0, 0, 0, 0]"
500,9,2,446.5555555555555,122.18777777777773,7.777777777777778,2.1111111111111107,109.88888888888887,82.44444444444444,25.444444444444446,45.555555555555564,0.1111111111111111,"[502, 502, 502, 502, 502, 502, 502, 502, 3]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
550,9,2,496.5555555555555,123.39499999999985,7.777777777777778,2.1111111111111107,109.88888888888887,82.44444444444444,25.444444444444446,45.555555555555564,0.1111111111111111,"[552, 552, 552, 552, 552, 552, 552, 552, 53]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
600,9,2,546.5555555555555,120.45666666666641,7.777777777777778,2.1111111111111107,109.88888888888887,82.44444444444444,25.444444444444446,45.555555555555564,0.1111111111111111,"[602, 602, 602, 602, 602, 602, 602, 602, 103]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
650,9,2,596.5555555555555,110.16277777777752,7.777777777777778,2.1111111111111107,109.88888888888887,82.44444444444444,25.444444444444446,45.555555555555564,0.1111111111111111,"[652, 652, 652, 652, 652, 652, 652, 652, 153]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
700,9,2,646.5555555555555,102.8272222222218,7.777777777777778,2.1111111111111107,109.88888888888887,82.44444444444444,25.444444444444446,45.555555555555564,0.1111111111111111,"[702, 702, 702, 702, 702, 702, 702, 702, 203]","[0, 0, 0, 0, 0, 0, 0, 0, 1]"
750,8,3,689.625,112.0631249999996,7.625,2.0,117.625,89.375,24.5,45.8125,0.125,"[752, 752, 752, 752, 752, 752, 752, 253]","[0, 0, 0, 0, 0, 0, 0, 1]"
800,8,3,739.625,98.04187499999942,7.625,2.0,117.625,89.375,24.5,45.8125,0.125,"[802, 802, 802, 802, 802, 802, 802, 303]","[0, 0, 0, 0, 0, 0, 0, 1]"
850,8,3,789.625,80.30562499999941,7.625,2.0,117.625,89.375,24.5,45.8125,0.125,"[852, 852, 852, 852, 852, 852, 852, 353]","[0, 0, 0, 0, 0, 0, 0, 1]"
900,7,4,830.7142857142858,100.20999999999957,7.857142857142858,2.142857142857143,115.28571428571428,95.71428571428572,23.857142857142854,46.78571428571429,0.14285714285714285,"[902, 902, 902, 902, 902, 902, 403]","[0, 0, 0, 0, 0, 0, 1]"
950,7,4,880.7142857142858,102.49714285714245,7.857142857142858,2.142857142857143,115.28571428571428,95.71428571428572,23.857142857142854,46.78571428571429,0.14285714285714285,"[952, 952, 952, 952, 952, 952, 453]","[0, 0, 0, 0, 0, 0, 1]"
1000,7,5,788.1428571428571,109.2435714285712,7.857142857142858,2.142857142857143,115.85714285714286,95.71428571428572,23.857142857142854,46.78571428571429,0.42857142857142855,"[1002, 1002, 1002, 1002, 1002, 503, 4]","[0, 0, 0, 0, 0, 1, 2]"
1050,7,5,838.1428571428571,110.09928571428541,7.857142857142858,2.142857142857143,115.85714285714286,95.71428571428572,23.857142857142854,46.78571428571429,0.42857142857142855,"[1052, 1052, 1052, 1052, 1052, 553, 54]","[0, 0, 0, 0, 0, 1, 2]"
1100,7,5,888.1428571428571,102.063571428571,7.857142857142858,2.142857142857143,115.85714285714286,95.71428571428572,23.857142857142854,46.78571428571429,0.42857142857142855,"[1102, 1102, 1102, 1102, 1102, 603, 104]","[0, 0, 0, 0, 0, 1, 2]"
1150,7,5,938.1428571428572,95.29357142857096,7.857142857142858,2.142857142857143,115.85714285714286,95.71428571428572,23.857142857142854,46.78571428571429,0.42857142857142855,"[1152, 1152, 1152, 1152, 1152, 653, 154]","[0, 0, 0, 0, 0, 1, 2]"
1200,6,6,1035.6666666666667,100.55166666666635,8.0,2.333333333333333,117.66666666666669,96.0,23.66666666666667,47.66666666666666,0.3333333333333333,"[1202, 1202, 1202, 1202, 1202, 204]","[0, 0, 0, 0, 0, 2]"
1250,6,6,1085.6666666666667,83.06333333333292,8.0,2.333333333333333,117.66666666666669,96.0,23.66666666666667,47.66666666666666,0.3333333333333333,"[1252, 1252, 1252, 1252, 1252, 254]","[0, 0, 0, 0, 0, 2]"
1300,6,6,1135.6666666666667,90.98999999999964,8.0,2.333333333333333,117.66666666666669,96.0,23.66666666666667,47.66666666666666,0.3333333333333333,"[1302, 1302, 1302, 1302, 1302, 304]","[0, 0, 0, 0, 0, 2]"
1350,5,7,1352.0,101.29499999999963,8.2,2.6,119.4,96.4,23.4,48.9,0.0,"[1352, 1352, 1352, 1352, 1352]","[0, 0, 0, 0, 0]"
1400,5,7,1402.0,116.22699999999948,8.2,2.6,119.4,96.4,23.4,48.9,0.0,"[1402, 1402, 1402, 1402, 1402]","[0, 0, 0, 0, 0]"
1450,5,7,1452.0,115.66299999999936,8.2,2.6,119.4,96.4,23.4,48.9,0.0,"[1452, 1452, 1452, 1452, 1452]","[0, 0, 0, 0, 0]"
1500,7,7,1073.7142857142858,103.21071428571402,8.285714285714286,2.7142857142857144,108.71428571428572,94.85714285714286,23.0,48.28571428571429,0.2857142857142857,"[1502, 1502, 1502, 1502, 1502, 3, 3]","[0, 0, 0, 0, 0, 1, 1]"
1550,7,7,1123.7142857142858,138.63928571428514,8.285714285714286,2.7142857142857144,108.71428571428572,94.85714285714286,23.0,48.28571428571429,0.2857142857142857,"[1552, 1552, 1552, 1552, 1552, 53, 53]","[0, 0, 0, 0, 0, 1, 1]"
1600,7,7,1173.7142857142858,141.8049999999999,8.285714285714286,2.7142857142857144,108.71428571428572,94.85714285714286,23.0,48.28571428571429,0.2857142857142857,"[1602, 1602, 1602, 1602, 1602, 103, 103]","[0, 0, 0, 0, 0, 1, 1]"
1650,7,7,1223.7142857142858,124.73357142857132,8.285714285714286,2.7142857142857144,108.71428571428572,94.85714285714286,23.0,48.28571428571429,0.2857142857142857,"[1652, 1652, 1652, 1652, 1652, 153, 153]","[0, 0, 0, 0, 0, 1, 1]"
1700,6,8,1202.3333333333333,145.66333333333327,8.666666666666666,2.833333333333333,95.66666666666669,91.83333333333331,24.16666666666667,48.5,0.3333333333333333,"[1702, 1702, 1702, 1702, 203, 203]","[0, 0, 0, 0, 1, 1]"
1750,6,8,1252.3333333333333,126.69333333333314,8.666666666666666,2.833333333333333,95.66666666666669,91.83333333333331,24.16666666666667,48.5,0.3333333333333333,"[1752, 1752, 1752, 1752, 253, 253]","[0, 0, 0, 0, 1, 1]"
1800,6,8,1302.3333333333333,112.32333333333322,8.666666666666666,2.833333333333333,95.66666666666669,91.83333333333331,24.16666666666667,48.5,0.3333333333333333,"[1802, 1802, 1802, 1802, 303, 303]","[0, 0, 0, 0, 1, 1]"
1850,5,9,1252.4,141.8639999999999,8.8,2.8,90.6,94.0,23.0,47.8,0.4,"[1852, 1852, 1852, 353, 353]","[0, 0, 0, 1, 1]"
