Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss,Gen,Ages,Gens,Ancestors
0,10,0,2.0,87.604,8.8,2.5,124.5,50.3,25.8,39.6,0.0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",[]
1000,6,6,669.0,109.12249999999905,8.833333333333334,1.8333333333333333,137.66666666666666,47.16666666666666,29.33333333333333,38.583333333333336,0.3333333333333333,"[1002, 1002, 1002, 1002, 3, 3]","[0, 0, 0, 0, 1, 1]",[]
2000,1,11,2002.0,108.23000000000108,10.0,4.0,151.0,120.0,23.0,57.0,0.0,[2002],[0],[]
3000,2,11,1502.5,149.43,10.0,4.0,151.0,120.0,23.0,57.0,0.5,"[3002, 3]","[0, 1]",[]
4000,3,11,1669.333333333333,154.68000000000015,10.0,4.0,151.0,120.0,24.66666666666667,57.83333333333334,0.6666666666666666,"[4002, 1003, 3]","[0, 1, 1]",[]
5000,2,12,1503.0,169.1975000000001,10.0,4.0,151.0,120.0,25.5,58.25,1.0,"[2003, 1003]","[1, 1]",[]
6000,2,12,2503.0,181.67250000000016,10.0,4.0,151.0,120.0,25.5,58.25,1.0,"[3003, 2003]","[1, 1]",[]
7000,2,12,3503.0,186.84000000000012,10.0,4.0,151.0,120.0,25.5,58.25,1.0,"[4003, 3003]","[1, 1]",[]
8000,3,12,3003.333333333333,163.6916666666667,10.0,3.6666666666666665,151.0,120.0,26.33333333333333,55.66666666666666,1.3333333333333333,"[5003, 4003, 4]","[1, 1, 2]",[]
9000,3,12,4003.333333333334,194.93500000000003,10.0,3.6666666666666665,151.0,120.0,26.33333333333333,55.66666666666666,1.3333333333333333,"[6003, 5003, 1004]","[1, 1, 2]","[[([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 23], 1)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1)], [([10, 4, 151, 120, 23], 0), ([10, 4, 151, 120, 28], 1), ([10, 3, 151, 120, 28], 2)]]"
10000,3,12,5003.333333333333,184.81333333333347,10.0,3.6666666666666665,151.0,120.0,26.33333333333333,55.66666666666666,1.3333333333333333,"[7003, 6003, 2004]","[1, 1, 2]",[]
11000,5,12,3603.6,140.91500000000016,10.0,3.8,153.0,118.6,26.0,56.7,1.6,"[8003, 7003, 3004, 4, 4]","[1, 1, 2, 2, 2]",[]
12000,6,12,3837.166666666666,123.48583333333382,10.0,3.8333333333333335,152.5,118.83333333333331,25.5,56.75,1.8333333333333333,"[9003, 8003, 4004, 1004, 1004, 5]","[1, 1, 2, 2, 2, 3]",[]
13000,6,14,3170.666666666666,160.77666666666667,10.0,3.8333333333333335,152.66666666666666,117.66666666666669,26.66666666666667,57.33333333333334,2.0,"[10003, 5004, 2004, 2004, 5, 4]","[1, 2, 2, 2, 3, 2]",[]
14000,6,14,4170.666666666667,183.36500000000026,10.0,3.8333333333333335,152.66666666666666,117.66666666666669,26.66666666666667,57.33333333333334,2.0,"[11003, 6004, 3004, 3004, 1005, 1004]","[1, 2, 2, 2, 3, 2]",[]
15000,9,14,3448.888888888889,148.27055555555532,10.0,3.7777777777777777,153.22222222222226,117.66666666666669,26.66666666666667,56.88888888888889,2.4444444444444446,"[12003, 7004, 4004, 4004, 2005, 2004, 6, 5, 5]","[1, 2, 2, 2, 3, 2, 4, 3, 3]",[]
16000,13,14,3081.615384615385,157.19000000000003,10.0,3.692307692307693,153.0769230769231,117.30769230769229,27.30769230769231,56.5,2.6923076923076925,"[13003, 8004, 5004, 5004, 3005, 3004, 1006, 1005, 1005, 6, 5, 5, 5]","[1, 2, 2, 2, 3, 2, 4, 3, 3, 4, 3, 3, 3]",[]
17000,15,14,3538.133333333333,165.26233333333332,10.0,3.6666666666666665,153.46666666666667,117.2,27.4,56.33333333333334,2.8,"[14003, 9004, 6004, 6004, 4005, 4004, 2006, 2005, 2005, 1006, 1005, 1005, 1005, 6, 5]","[1, 2, 2, 2, 3, 2, 4, 3, 3, 4, 3, 3, 3, 4, 3]",[]
