Step,Living Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss
0,10,2.0,95.6126076951546,9.6,2.3,183.5,78.4,24.4,38.73923048454133
50,10,52.0,92.24299245288384,9.6,2.3,183.5,78.4,24.4,38.73923048454133
100,10,102.0,94.87337721061321,9.6,2.3,183.5,78.4,24.4,38.73923048454133
150,10,152.0,95.50376196834256,9.6,2.3,183.5,78.4,24.4,38.73923048454133
200,10,202.0,86.13414672607185,9.6,2.3,183.5,78.4,24.4,38.73923048454133
250,9,252.0,85.41503498200147,9.666666666666666,2.4444444444444446,172.77777777777774,81.33333333333333,24.33333333333333,38.26581164949036
300,9,302.0,73.64101804614523,9.666666666666666,2.4444444444444446,172.77777777777774,81.33333333333333,24.33333333333333,38.26581164949036
350,9,352.0,64.56811222140006,9.666666666666666,2.4444444444444446,172.77777777777774,81.33333333333333,24.33333333333333,38.26581164949036
400,9,402.0,59.61187306332154,9.666666666666666,2.4444444444444446,172.77777777777774,81.33333333333333,24.33333333333333,38.26581164949036
450,8,452.0,67.93758814339847,9.75,2.625,157.25,79.125,24.0,37.04903810567666
500,6,502.0,90.93075878741348,9.666666666666666,2.6666666666666665,146.16666666666666,84.66666666666667,24.5,36.398717474235546
550,6,552.0,89.39806671696233,9.666666666666666,2.6666666666666665,146.16666666666666,84.66666666666667,24.5,36.398717474235546
600,6,602.0,87.08870797984453,9.666666666666666,2.6666666666666665,146.16666666666666,84.66666666666667,24.5,36.398717474235546
650,6,652.0,95.55601590939341,9.666666666666666,2.6666666666666665,146.16666666666666,84.66666666666667,24.5,36.398717474235546
700,6,702.0,94.0233238389423,9.666666666666666,2.6666666666666665,146.16666666666666,84.66666666666667,24.5,36.398717474235546
750,5,752.0,107.18875812218918,9.6,3.0,142.8,89.0,26.2,37.078460969082656
800,5,802.0,98.66352763764786,9.6,3.0,142.8,89.0,26.2,37.078460969082656
850,5,852.0,112.41116404088093,9.6,3.0,142.8,89.0,26.2,37.078460969082656
900,5,902.0,111.06974872459088,9.6,3.0,142.8,89.0,26.2,37.078460969082656
950,5,952.0,106.72985660479358,9.6,3.0,142.8,89.0,26.2,37.078460969082656
1000,5,802.2,117.05549522860431,9.4,3.6,143.2,89.8,27.2,38.478460969082654
1050,5,852.2,101.8162647440629,9.4,3.6,143.2,89.8,27.2,38.478460969082654
1100,5,902.2,110.78411084097095,9.4,3.6,143.2,89.8,27.2,38.478460969082654
1150,5,952.2,111.54488035642963,9.4,3.6,143.2,89.8,27.2,38.478460969082654
1200,4,952.25,140.01706233986104,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1250,4,1002.25,147.71802423418438,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1300,4,1052.25,171.5626546432844,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1350,4,1102.25,168.27896170927488,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1400,4,1152.25,166.48876933041043,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1450,4,1202.25,172.0729809471616,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1500,4,1252.25,167.19958694058522,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1550,4,1302.25,166.46885608594778,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1600,4,1352.25,159.1698179802711,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1650,4,1402.25,166.05077987459455,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1700,4,1452.25,162.85924176891785,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1750,4,1502.25,151.6452036632412,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1800,4,1552.25,156.56268387021063,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1850,4,1602.25,155.58503015216718,9.0,3.5,109.25,91.75,27.0,34.59807621135332
1900,4,1652.25,144.29668424030712,9.0,3.5,109.25,91.75,27.0,34.59807621135332
