Step,Living Noodles,Dead Noodles,Age,Health,Size,Speed,Sight,View,Rep,Loss
0,10,0,2.0,98.664,9.9,3.2,154.3,68.2,26.4,33.6
50,10,0,52.0,107.86399999999996,9.9,3.2,154.3,68.2,26.4,33.6
100,10,0,102.0,133.06399999999994,9.9,3.2,154.3,68.2,26.4,33.6
150,10,0,152.0,127.81999999999998,9.9,3.2,154.3,68.2,26.4,33.6
200,10,0,202.0,130.82200000000006,9.9,3.2,154.3,68.2,26.4,33.6
250,10,0,252.0,126.23700000000001,9.9,3.2,154.3,68.2,26.4,33.6
300,10,0,302.0,117.43700000000004,9.9,3.2,154.3,68.2,26.4,33.6
350,10,0,352.0,109.677,9.9,3.2,154.3,68.2,26.4,33.6
400,10,0,402.0,102.18200000000002,9.9,3.2,154.3,68.2,26.4,33.6
450,10,0,452.0,91.38200000000009,9.9,3.2,154.3,68.2,26.4,33.6
500,10,0,502.0,88.5820000000002,9.9,3.2,154.3,68.2,26.4,33.6
550,10,0,552.0,77.78200000000034,9.9,3.2,154.3,68.2,26.4,33.6
600,8,2,602.0,87.17375000000112,10.125,3.375,166.625,67.875,27.0,35.125
650,7,3,652.0,85.66285714285858,10.142857142857142,3.571428571428572,182.42857142857144,67.28571428571429,25.857142857142854,36.57142857142857
700,6,4,702.0,96.49500000000198,9.833333333333334,3.5,187.5,71.5,24.5,37.16666666666666
750,5,5,752.0,127.2560000000028,9.8,3.6,191.0,79.4,25.0,38.4
800,5,5,802.0,140.05600000000308,9.8,3.6,191.0,79.4,25.0,38.4
850,5,5,852.0,159.9660000000024,9.8,3.6,191.0,79.4,25.0,38.4
900,5,5,902.0,169.4560000000026,9.8,3.6,191.0,79.4,25.0,38.4
950,5,5,952.0,168.5960000000015,9.8,3.6,191.0,79.4,25.0,38.4
1000,5,5,1002.0,161.39600000000164,9.8,3.6,191.0,79.4,25.0,38.4
1050,5,5,1052.0,172.76800000000154,9.8,3.6,191.0,79.4,25.0,38.4
1100,5,5,1102.0,182.94400000000192,9.8,3.6,191.0,79.4,25.0,38.4
1150,5,5,1152.0,182.60600000000156,9.8,3.6,191.0,79.4,25.0,38.4
1200,5,5,1202.0,171.56600000000162,9.8,3.6,191.0,79.4,25.0,38.4
1250,5,5,1252.0,180.67400000000168,9.8,3.6,191.0,79.4,25.0,38.4
1300,5,5,1302.0,171.69000000000008,9.8,3.6,191.0,79.4,25.0,38.4
1350,5,5,1352.0,170.10200000000037,9.8,3.6,191.0,79.4,25.0,38.4
1400,5,5,1402.0,168.72200000000004,9.8,3.6,191.0,79.4,25.0,38.4
1450,5,5,1452.0,172.6140000000002,9.8,3.6,191.0,79.4,25.0,38.4
1500,5,5,1502.0,175.13800000000032,9.8,3.6,191.0,79.4,25.0,38.4
1550,5,5,1552.0,183.89400000000037,9.8,3.6,191.0,79.4,25.0,38.4
1600,5,5,1602.0,176.6760000000004,9.8,3.6,191.0,79.4,25.0,38.4
1650,5,5,1652.0,184.0440000000006,9.8,3.6,191.0,79.4,25.0,38.4
1700,5,5,1702.0,181.93400000000054,9.8,3.6,191.0,79.4,25.0,38.4
1750,5,5,1752.0,169.2560000000006,9.8,3.6,191.0,79.4,25.0,38.4
1800,5,5,1802.0,160.61000000000078,9.8,3.6,191.0,79.4,25.0,38.4
1850,5,5,1852.0,155.9260000000011,9.8,3.6,191.0,79.4,25.0,38.4
1900,5,5,1902.0,160.10000000000028,9.8,3.6,191.0,79.4,25.0,38.4
1950,5,5,1952.0,160.42000000000053,9.8,3.6,191.0,79.4,25.0,38.4
2000,6,5,1668.833333333333,147.56666666666715,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2050,6,5,1718.833333333333,153.68333333333368,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2100,6,5,1768.833333333333,163.22166666666746,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2150,6,5,1818.833333333333,163.13500000000099,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2200,6,5,1868.833333333333,163.91500000000127,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2250,6,5,1918.833333333333,167.99500000000117,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2300,6,5,1968.833333333333,164.30500000000131,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2350,6,5,2018.833333333333,162.47833333333472,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2400,6,5,2068.833333333333,155.25333333333472,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2450,6,5,2118.833333333333,158.1783333333347,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2500,6,5,2168.833333333333,154.22000000000162,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2550,6,5,2218.833333333333,138.63666666666845,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2600,6,5,2268.833333333333,134.7633333333354,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2650,6,5,2318.833333333333,144.6366666666693,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2700,6,5,2368.833333333333,138.55666666666946,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2750,6,5,2418.833333333333,138.4933333333353,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2800,6,5,2468.833333333333,123.81333333333544,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
2850,6,5,2518.833333333333,131.106666666669,9.833333333333334,3.5,188.66666666666663,76.83333333333333,24.83333333333333,37.833333333333336
